REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
3271401BC5937S,0.157764492117935,38.7870082417129,AV D'ONDARA 2 JAVEA/XABIA (ALICANTE),OK,2
7523813BC5972S,0.207454150790606,38.7443281459383,CL RONCADELL 20 JAVEA/XABIA (ALICANTE),OK,12
1539626BC5913N,0.139500305133701,38.7565751734319,CL BLAS DE OTERO 19 JAVEA/XABIA (ALICANTE),OK,1
0002003BC5900N,0.143858090597353,38.7663296854838,CM JOAQUIN DICENTA 9 JAVEA/XABIA (ALICANTE),OK,1
0013053BC5905S,0.145931134758526,38.7772241808657,CR GATA 36 JAVEA/XABIA (ALICANTE),OK,1
2925811BC5932S,0.157467297709293,38.744053266709,CL LAGO BALJASH 6 JAVEA/XABIA (ALICANTE),OK,1
3571664BC5936N,0.159609219062457,38.7845240523377,AV GATA 1 JAVEA/XABIA (ALICANTE),OK,10
6945644BC5964S,0.200302588502502,38.7629156078526,UR PARQUE CALABLANCA 37 JAVEA/XABIA (ALICANTE),OK,11
6943606BC5964S,0.201078918118664,38.7620162493685,UR PARQUE CALABLANCA 35 JAVEA/XABIA (ALICANTE),OK,11
6943605BC5964S,0.200910833330977,38.7620360055218,UR PARQUE CALABLANCA 29 JAVEA/XABIA (ALICANTE),OK,11
6943603BC5964S,0.200544967769183,38.7620580477506,UR PARQUE CALABLANCA 24 JAVEA/XABIA (ALICANTE),OK,11
6945616BC5964S,0.200663781446999,38.7629160680118,UR PARQUE CALABLANCA 49 JAVEA/XABIA (ALICANTE),OK,11
6943601BC5964S,0.200157354142407,38.7620859640889,UR PARQUE CALABLANCA 12 JAVEA/XABIA (ALICANTE),OK,11
6945615BC5964S,0.200812003568128,38.7629511538428,UR PARQUE CALABLANCA 50 JAVEA/XABIA (ALICANTE),OK,11
6943602BC5964S,0.200355310782711,38.7620703487345,UR PARQUE CALABLANCA 11 JAVEA/XABIA (ALICANTE),OK,11
6943604BC5964S,0.200697759182099,38.7620468448417,UR PARQUE CALABLANCA 23 JAVEA/XABIA (ALICANTE),OK,11
3578201BC5937N,0.160465094044095,38.7943711791886,CR DENIA DE 17 JAVEA/XABIA (ALICANTE),OK,3
0575810BC5907N,0.126456596073453,38.7894905915004,CL ISLANDIA 1 JAVEA/XABIA (ALICANTE),OK,1
3677005BC5937N,0.162328969774414,38.7915613710219,CL CALVARIO 25 JAVEA/XABIA (ALICANTE),OK,4
03082A02000468,0.110648677268751,38.7771809617802,CR GATA 156 Polígono 20 Parcela 468 VALLS. JAVEA/XABIA (ALICANTE),OK,1
5233806BC5953S,0.181661113685577,38.7528339241789,UR PINOMAR 10(S) JAVEA/XABIA (ALICANTE),OK,12
03082A02900168,0.167671119962104,38.7658030194433,CM REBALDI 48 Polígono 29 Parcela 168 0005001BC5900N TOSSALS. JAVEA/XABIA (ALICANTE),OK,1
6924018BC5962S,0.201223651076704,38.744848052755,UR COSTA NOVA PANORAMA 205(B) JAVEA/XABIA (ALICANTE),OK,12
3664619BC5937S,0.161811325180653,38.7886362748008,CL FINESTRAT 2 JAVEA/XABIA (ALICANTE),OK,3
9285215BC4998N,0.109698926499338,38.7982533691423,CL OSA MAYOR 1 JAVEA/XABIA (ALICANTE),OK,2
5847023BC5954N,0.188130176332109,38.7641347444222,UR COFITSA 77 JAVEA/XABIA (ALICANTE),OK,11
5941507BC5954S,0.189864046668293,38.7591741989017,CM ADSUBIES 183 JAVEA/XABIA (ALICANTE),OK,12
