REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
7512101BC5971S,0.20465888759143,38.7360314392322,CL PERDIU LA 2 JAVEA/XABIA (ALICANTE),OK,12
6710511BC5960N,0.200102505850161,38.7323666396444,CL PIC TORT 14 JAVEA/XABIA (ALICANTE),OK,12
6236302BC5963N,0.193994497250146,38.7562241069572,PD CM CAP MARTI 56 JAVEA/XABIA (ALICANTE),OK,12
2074725BC5927S,0.144739555768313,38.7884763277401,CL SABADELL 6 JAVEA/XABIA (ALICANTE),OK,2
6728002BC5962N,0.198997754625577,38.7491311021052,CL AVELLANO 304 JAVEA/XABIA (ALICANTE),OK,12
3051720BC5935S,0.157462491345807,38.7703992011772,CL RIO MUNDO 2 FINCA RESULTANTE Nº189 JAVEA/XABIA (ALICANTE),OK,1
8313516BC5981S,0.21897600704333,38.7345749821458,CL TORLIT 4 JAVEA/XABIA (ALICANTE),OK,12
6526519BC5962N,0.196948412232626,38.7462449600001,UR TOSALET 474 JAVEA/XABIA (ALICANTE),OK,12
2949214BC5934N,0.157749063714296,38.7670874962145,CL RIO CINCA 3 FINCA RESULTANTE Nº99 JAVEA/XABIA (ALICANTE),OK,1
3781806BC5938S,0.163359381771498,38.7958555378845,CL ALMUDAINA 23 JAVEA/XABIA (ALICANTE),OK,1
9316306BC5991N,0.230184322098582,38.7383804786061,UR BALCON AL MAR G 118 JAVEA/XABIA (ALICANTE),OK,12
7937404BC5973N,0.21365968786086,38.7568238579357,CL XICORIA 23 JAVEA/XABIA (ALICANTE),OK,12
8518213BC5981N,0.221796927023539,38.7399724635176,UR BALCON AL MAR D 112 JAVEA/XABIA (ALICANTE),OK,12
8529016BC5982N,0.220006547074287,38.7501455879518,CL BARRACA LA 14 JAVEA/XABIA (ALICANTE),OK,12
6140515BC5963N,0.191283488250197,38.7585612018664,CM ADSUBIES 323 JAVEA/XABIA (ALICANTE),OK,12
4786012BC5948N,0.174882946194851,38.7994846872023,CL PENAGUILA 33(D) JAVEA/XABIA (ALICANTE),OK,6
1524501BC5912N,0.139617916195297,38.7445097824764,CL EURIPIDES 2 JAVEA/XABIA (ALICANTE),OK,1
8317601BC5981N,0.217641328614155,38.7390858550432,UR BALCON AL MAR D 4 JAVEA/XABIA (ALICANTE),OK,12
2270411BC5926N,0.148396561853041,38.7847653559532,CL HOLANDA 2 JAVEA/XABIA (ALICANTE),OK,1
8013001BC5971S,0.214840745048254,38.7355747098107,CL TIBO 2 JAVEA/XABIA (ALICANTE),OK,12
9877613BC4997N,0.120444405759055,38.7897850515829,CL BERMUDAS 16 JAVEA/XABIA (ALICANTE),OK,1
3829368BC5932N,0.164103072053972,38.7489124340815,CL LAGO SAN MARTIN 14 PARCELA RESULTANTE Nº59 JAVEA/XABIA (ALICANTE),OK,1
3981102BC5938S,0.163887170278655,38.7958453863861,CL ALMUDAINA 20 JAVEA/XABIA (ALICANTE),OK,1
4729013BC5942N,0.175925968006418,38.7490383801494,CL JEAN ARP 28 JAVEA/XABIA (ALICANTE),OK,12
5928009BC5952N,0.188768267232602,38.7484753868295,UR TOSALET 343 JAVEA/XABIA (ALICANTE),OK,12
5743519BC5954S,0.187080269985752,38.7620745102704,CL ARBORCER 26 JAVEA/XABIA (ALICANTE),OK,12
1179437BC5917N,0.133017498457576,38.7932193090643,CL DEL PIC D'ESPADA 5 JAVEA/XABIA (ALICANTE),OK,2
1425201BC5912N,0.138506303272458,38.7453837485187,CL OVIDIO 2 JAVEA/XABIA (ALICANTE),OK,1
3578203BC5937N,0.160495455757876,38.7937260441422,CR DENIA DE 13 JAVEA/XABIA (ALICANTE),OK,3
5744007BC5954S,0.188515961168765,38.7625240557423,CL GINESTA LA 8 JAVEA/XABIA (ALICANTE),OK,12
0281210BC5908S,0.122591261198395,38.7945915329749,CL PIC DE REBALSADORS 10 PARCELA 29 GARROFERAL JAVEA/XABIA (ALICANTE),OK,2
6532511BC5963S,0.195963338745604,38.7514085708718,CL ENEBRO 10 JAVEA/XABIA (ALICANTE),OK,12
5833706BC5953S,0.189036308870758,38.7530301434562,CM ADSUBIES 397 JAVEA/XABIA (ALICANTE),OK,12
9020002BC5982S,0.225859593430378,38.7421718286032,CL CLAUDIO MONTEVERDI 19 JAVEA/XABIA (ALICANTE),OK,12
