N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1022908,510902,5760105BC5956S0020YO,8,"54.039,63","0,942","133,48",160,"293,48",54039.63,0.942,133.48,293.48,5760105,BC5956S,0020,YO,BC5956,Arenal / Canal / Montañar
1025290,489695,1335513BC5913N0001MD,8,"54.301,26","0,946","133,52",160,"293,52",54301.26,0.946,133.52,293.52,1335513,BC5913N,0001,MD,BC5913,Montgó / Toscamar
1017334,505649,7835606BC5973S0001YX,8,"54.357,55","0,947","133,53",160,"293,53",54357.55,0.947,133.53,293.53,7835606,BC5973S,0001,YX,BC5973,Tosalet / Cap Martí
1006894,478773,6710515BC5960N0001WT,8,"54.622,52","0,952","133,57",160,"293,57",54622.52,0.952,133.57,293.57,6710515,BC5960N,0001,WT,BC5960,Puerto / Aduanas
1026259,510873,5760106BC5955N0140OQ,8,"54.841,68","0,956","133,60",160,"293,60",54841.68,0.956,133.6,293.6,5760106,BC5955N,0140,OQ,BC5955,Arenal / Canal / Montañar
1020569,471593,5662001BC5956S0020UO,8,"54.922,69","0,957","133,61",160,"293,61",54922.69,0.957,133.61,293.61,5662001,BC5956S,0020,UO,BC5956,Arenal / Canal / Montañar
1020570,478473,5662001BC5956S0021IP,8,"54.922,69","0,957","133,61",160,"293,61",54922.69,0.957,133.61,293.61,5662001,BC5956S,0021,IP,BC5956,Arenal / Canal / Montañar
1006191,507435,6533712BC5963S0001GK,8,"54.943,19","0,958","133,62",160,"293,62",54943.19,0.958,133.62,293.62,6533712,BC5963S,0001,GK,BC5963,Puerto / Aduanas
1026436,460026,4871006BC5947S0030FY,8,"55.396,34","0,965","133,69",160,"293,69",55396.34,0.965,133.69,293.69,4871006,BC5947S,0030,FY,BC5947,Casco urbano / Pueblo
1010822,448857,5859010BC5955N0065OJ,8,"55.522,78","0,968","133,71",160,"293,71",55522.78,0.968,133.71,293.71,5859010,BC5955N,0065,OJ,BC5955,Arenal / Canal / Montañar
1026468,509875,4871006BC5947S0062FY,8,"55.799,29","0,972","133,75",160,"293,75",55799.29,0.972,133.75,293.75,4871006,BC5947S,0062,FY,BC5947,Casco urbano / Pueblo
